,DATA,QNT_PESSOAS
151,2019-06-30T12:32:52.000Z,3
152,2019-06-30T12:32:54.000Z,3
153,2019-06-30T12:32:55.000Z,2
154,2019-06-30T12:32:57.000Z,3
155,2019-06-30T12:32:58.000Z,5
156,2019-06-30T12:33:00.000Z,3
157,2019-06-30T12:33:01.000Z,3
158,2019-06-30T12:33:03.000Z,3
159,2019-06-30T12:33:04.000Z,3
160,2019-06-30T12:33:05.000Z,3
161,2019-06-30T12:33:07.000Z,3
162,2019-06-30T12:33:08.000Z,4
163,2019-06-30T12:33:10.000Z,5
164,2019-06-30T12:33:11.000Z,3
165,2019-06-30T12:33:13.000Z,2
166,2019-06-30T12:33:14.000Z,2
167,2019-06-30T12:33:16.000Z,2
168,2019-06-30T12:33:17.000Z,3
169,2019-06-30T12:33:19.000Z,3
170,2019-06-30T12:33:20.000Z,3
171,2019-06-30T12:33:21.000Z,2
172,2019-06-30T12:33:23.000Z,1
173,2019-06-30T12:33:24.000Z,2
174,2019-06-30T12:33:26.000Z,4
175,2019-06-30T12:33:27.000Z,2
176,2019-06-30T12:33:29.000Z,2
177,2019-06-30T12:33:30.000Z,2
178,2019-06-30T12:33:31.000Z,2
179,2019-06-30T12:33:33.000Z,2
180,2019-06-30T12:33:34.000Z,2
181,2019-06-30T12:33:36.000Z,2
182,2019-06-30T12:33:37.000Z,2
183,2019-06-30T12:33:39.000Z,2
184,2019-06-30T12:33:40.000Z,2
185,2019-06-30T12:33:42.000Z,1
186,2019-06-30T12:33:43.000Z,2
187,2019-06-30T12:33:45.000Z,2
188,2019-06-30T12:33:46.000Z,2
189,2019-06-30T12:33:48.000Z,2
190,2019-06-30T12:33:49.000Z,2
191,2019-06-30T12:33:50.000Z,2
192,2019-06-30T12:33:52.000Z,2
193,2019-06-30T12:33:53.000Z,3
194,2019-06-30T12:33:55.000Z,1
195,2019-06-30T12:33:56.000Z,2
196,2019-06-30T12:33:58.000Z,2
197,2019-06-30T12:33:59.000Z,1
198,2019-06-30T12:34:01.000Z,2
199,2019-06-30T12:34:02.000Z,2
200,2019-06-30T12:34:04.000Z,2
201,2019-06-30T12:34:05.000Z,3
202,2019-06-30T12:34:06.000Z,2
203,2019-06-30T12:34:08.000Z,2
204,2019-06-30T12:34:09.000Z,3
205,2019-06-30T12:34:11.000Z,2
206,2019-06-30T12:34:12.000Z,2
207,2019-06-30T12:34:14.000Z,2
208,2019-06-30T12:34:15.000Z,2
209,2019-06-30T12:34:17.000Z,2
210,2019-06-30T12:34:18.000Z,2
211,2019-06-30T12:34:20.000Z,2
212,2019-06-30T12:34:21.000Z,2
213,2019-06-30T12:34:23.000Z,2
214,2019-06-30T12:34:24.000Z,3
215,2019-06-30T12:34:25.000Z,2
216,2019-06-30T12:34:27.000Z,2
217,2019-06-30T12:34:28.000Z,2
218,2019-06-30T12:34:30.000Z,2
219,2019-06-30T12:34:31.000Z,2
220,2019-06-30T12:34:33.000Z,2
221,2019-06-30T12:34:34.000Z,1
222,2019-06-30T12:34:36.000Z,2
223,2019-06-30T12:34:37.000Z,2
224,2019-06-30T12:34:38.000Z,1
225,2019-06-30T12:34:40.000Z,1
226,2019-06-30T12:34:41.000Z,2
227,2019-06-30T12:34:43.000Z,2
228,2019-06-30T12:34:44.000Z,2
229,2019-06-30T12:34:46.000Z,2
230,2019-06-30T12:34:47.000Z,1
231,2019-06-30T12:34:48.000Z,1
232,2019-06-30T12:34:50.000Z,1
233,2019-06-30T12:34:51.000Z,1
234,2019-06-30T12:34:53.000Z,1
